"gene_id","X22D_3.55","X182A_9.84","X163A_2.2","X156A_4.2","X174A_6.6","X101A_0.73","X162A_2.2","X183A_9.84","X97A_1.1","X175A_6.6","hs_symbol","SYMBOL","PRC2_targ"
"AMEX60DD054762",0,0,0,0,0,0.00304878048780488,0,0,0,0,"UBC","Ubc.4","All Promoters"
"AMEX60DD054763",0,0,0,0,0,0,0,0,0,0,NA,"AM054763","All Promoters"
"AMEX60DD054764",0.860795454545455,0.832826747720365,0.911504424778761,0.91,0.880597014925373,0.801724137931034,0.825,0.619047619047619,0.907801418439716,0.857142857142857,NA,"AM054764","All Promoters"
"AMEX60DD054767",0.974264705882353,0.880794701986755,0.930232558139535,0.93801652892562,0.994623655913978,0.971590909090909,0.924731182795699,0.96969696969697,0.948717948717949,0.958333333333333,NA,"LOC102461666.71","All Promoters"
"AMEX60DD054770",0.875,0.840909090909091,0.941176470588235,0.96551724137931,0.929824561403509,0.894736842105263,0.897959183673469,0.740740740740741,0.78125,0.783132530120482,NA,"AM054770","All Promoters"
"AMEX60DD054771",1,0.5,0.722222222222222,0.744186046511628,0.25,0.375,0.787878787878788,0.695652173913043,0.9375,0.5,NA,"ROHU_032260.4","All Promoters"
"AMEX60DD054772",0.19047619047619,0.0612244897959184,0.857142857142857,0.1875,0.177914110429448,0.207207207207207,0.0487804878048781,0.833333333333333,0.0684931506849315,0.154545454545455,"TTC19","Ttc19","All Promoters"
"AMEX60DD054773",0.75,0.593220338983051,0.576,0.514285714285714,0.647321428571429,0.579365079365079,0.460122699386503,0.594594594594595,0.5,0.685714285714286,NA,"AM054773","All Promoters"
"AMEX60DD054774",0.794871794871795,0.666666666666667,0.727272727272727,0.777777777777778,0.75,0.764705882352941,0.638888888888889,0.722222222222222,0.428571428571429,0.875,NA,"LOC115388170.6","All Promoters"
"AMEX60DD054775",0,0,0,0,0,0,0,0,0,0,NA,"AM054775","All Promoters"
"AMEX60DD054776",0.864864864864865,1,0.866666666666667,0.953488372093023,1,1,0.782608695652174,0.794871794871795,0.888888888888889,0.91304347826087,"ZSWIM7","Zswim7","All Promoters"
"AMEX60DD054777",0.153061224489796,0.0853658536585366,0.11214953271028,0.206896551724138,0,0.037037037037037,0.118226600985222,0,0.138297872340426,0,"ADORA2B","Adora2b","All Promoters"
"AMEX60DD054781",0.82258064516129,0.145454545454545,0.192307692307692,0.22,0.219512195121951,0.472222222222222,0.348387096774194,0.0952380952380952,0.236363636363636,0.113821138211382,NA,"AM054781","All Promoters"
"AMEX60DD054782",0,0,0,0,0,0,0,0,0,0.0208333333333333,"SPECC1","Specc1.6","All Promoters"
"AMEX60DD054783",0.833333333333333,0.823529411764706,0.882352941176471,0.685714285714286,0.879310344827586,0.8,0.885714285714286,0.555555555555556,0.833333333333333,0.67741935483871,NA,"AM054783","All Promoters"
"AMEX60DD054784",0.909090909090909,0.952380952380952,0.884615384615385,0.961538461538462,0.96875,0.882352941176471,0.930232558139535,0.953488372093023,1,0.891891891891892,NA,"LOC100130764.10","All Promoters"
"AMEX60DD054785",0.896551724137931,0.966666666666667,0.91304347826087,0.96551724137931,0.957746478873239,0.916666666666667,0.976744186046512,0.914893617021277,0.925925925925926,0.787234042553192,NA,"LOC115083739","All Promoters"
"AMEX60DD054788",0.0466101694915254,0,0.0833333333333333,0.0416666666666667,0.518518518518518,0.078740157480315,0.135416666666667,0,0.111111111111111,0.0904761904761905,NA,"LOC102352863","All Promoters"
"AMEX60DD054789",0.00568181818181818,0.00483091787439614,0.03125,0,0,0,0.0101010101010101,0,0,0,NA,"AM054789","All Promoters"
"AMEX60DD054791",0.0454545454545455,0,0.00709219858156028,0.00757575757575758,0.0144927536231884,0,0,0,0.0116279069767442,0,"TRARG1","Trarg1","All Promoters"
"AMEX60DD054792",0.216326530612245,0.267441860465116,0.253521126760563,0.323809523809524,0.3,0.339366515837104,0.278260869565217,0.22972972972973,0.416666666666667,0.145833333333333,"GOSR1","Gosr1","All Promoters"
"AMEX60DD054795",1,0.901234567901235,0.88135593220339,0.813432835820896,0.9,0.8,0.927927927927928,1,0.838709677419355,0.785714285714286,NA,"AM054795","All Promoters"
"AMEX60DD054796",0.947368421052632,0.918604651162791,0.909090909090909,0.974789915966387,0.930555555555556,0.925925925925926,0.899193548387097,0.935483870967742,0.925619834710744,0.93956043956044,NA,"LOC113651754.6","All Promoters"
"AMEX60DD054798",0,0,0,0,0,0,0.00793650793650794,0,0,0,"CPD","Cpd.1","All Promoters"
"AMEX60DD054799",0,0,0,0.00854700854700855,0,0.00465116279069767,0.00657894736842105,0,0,0.00467289719626168,"CPD","Cpd.2","All Promoters"
"AMEX60DD054800",0.688524590163934,0.705882352941177,0.666666666666667,0.594285714285714,0.631578947368421,0.432432432432432,0.635514018691589,0.686486486486486,0.651515151515151,0.851851851851852,NA,"AM054800","All Promoters"
"AMEX60DD054801",0.349206349206349,0.296296296296296,0.267175572519084,0.288888888888889,0.404761904761905,0.611111111111111,0.34375,0.292682926829268,0.319587628865979,0.24812030075188,"TMIGD1","Tmigd1","All Promoters"
"AMEX60DD054802",0.329545454545455,0.32,0.26,0.102564102564103,0.183908045977011,0.25,0.272727272727273,0.857142857142857,0.480769230769231,0.304347826086957,"SSH2","Ssh2","All Promoters"
"AMEX60DD054803",0.884004884004884,0.907494145199063,0.837429111531191,0.864745011086475,0.885117493472585,0.886649874055416,0.853960396039604,0.888888888888889,0.898058252427185,0.897379912663755,NA,"XELAEV_18041766MG.14","All Promoters"
"AMEX60DD054804",0.421686746987952,0.233644859813084,0.272727272727273,0.258064516129032,0.246987951807229,0.170454545454545,0.452631578947368,0.28125,0.284671532846715,0.228070175438596,"EFCAB5","Efcab5","All Promoters"
"AMEX60DD054805",0.00840336134453781,0.00826446280991736,0.013986013986014,0,0.0102040816326531,0.0102040816326531,0,0,0.0328947368421053,0.0147058823529412,"NSRP1","Nsrp1","All Promoters"
"AMEX60DD054807",0,0.684210526315789,0.567567567567568,0.614678899082569,0.784810126582278,0.419354838709677,0.6,0.69047619047619,0.476190476190476,0.588235294117647,NA,"AM054807","All Promoters"
"AMEX60DD054809",0.114503816793893,0.1,0.119402985074627,0.171052631578947,0.008,0.10377358490566,0.104651162790698,0.116666666666667,0,0.0601503759398496,"BLMH","Blmh.1","All Promoters"
"AMEX60DD054810",0.0625,0.0645161290322581,0.025,0.168831168831169,0.0392156862745098,0,0.0384615384615385,0.212328767123288,0.0112994350282486,0.0446428571428571,"CORO6","Coro6","PRC2 Target"
"AMEX60DD054811",0.608695652173913,0.659574468085106,0.673913043478261,0.582089552238806,0.371428571428571,0.545454545454545,0.526315789473684,0.725,0.32258064516129,0.545454545454545,NA,"AM054811","All Promoters"
"AMEX60DD054812",0.945652173913043,0.776119402985075,0.81981981981982,0.816901408450704,0.780952380952381,0.790909090909091,0.95,0.714285714285714,0.923076923076923,0.757575757575758,"ANKRD13B","Ankrd13b","All Promoters"
"AMEX60DD054813",0.275862068965517,0.37037037037037,0.46551724137931,0.51219512195122,0.563636363636364,0.75,0.446153846153846,0.67741935483871,0.62,0.230769230769231,"GIT2","Git2.1","All Promoters"
"AMEX60DD054814",0.0161290322580645,0.0065359477124183,0,0.029585798816568,0,0.0547945205479452,0,0.0666666666666667,0,0,"TP53I13","Tp53i13","All Promoters"
"AMEX60DD054818",0.818181818181818,0.285714285714286,0.875,0.805555555555556,1,0.903225806451613,0.849315068493151,1,0.818181818181818,0.888888888888889,NA,"AM054818","All Promoters"
"AMEX60DD054819",0.793650793650794,0.633333333333333,0.545454545454545,0.347826086956522,0.475609756097561,0.543859649122807,0.743119266055046,0.648148148148148,0.657894736842105,0.791666666666667,"CRYBA1","Cryba1.1","All Promoters"
"AMEX60DD054820",0.299065420560748,0.292134831460674,0.222222222222222,0.322916666666667,0.306451612903226,0.304347826086957,0.324561403508772,0.260869565217391,0.235294117647059,0.227272727272727,"CRYBB1","Crybb1.2","All Promoters"
"AMEX60DD054821",0.0980392156862745,0.078125,0.203947368421053,0.240963855421687,0.296969696969697,0.233766233766234,0.23574144486692,0.44578313253012,0.272727272727273,0.181286549707602,NA,"LOC114019771.5","All Promoters"
"AMEX60DD054822",0.0118343195266272,0.029126213592233,0.0674157303370786,0.0277777777777778,0.0495867768595041,0.0333333333333333,0.03125,0,0.027027027027027,0.05,"MYO18A","Myo18a","All Promoters"
"AMEX60DD054823",0.689655172413793,0.716981132075472,0.542253521126761,0.714285714285714,0.593220338983051,0.566666666666667,0.575757575757576,0.133333333333333,0.683333333333333,0.595238095238095,NA,"AM054823","All Promoters"
"AMEX60DD054826",0.0192307692307692,0,0.00862068965517241,0.00943396226415094,0.0191387559808612,0.0238095238095238,0,0.0252100840336134,0,0.0175438596491228,"PIPOX","Pipox","All Promoters"
"AMEX60DD054827",0.833333333333333,0.75,0.67741935483871,0.646341463414634,0.888888888888889,0.955555555555556,0.787878787878788,0.5,0.784313725490196,0.921052631578947,NA,"AM054827","All Promoters"
"AMEX60DD054828",0.592592592592593,0.32,0.476190476190476,0.481481481481481,0.5,0.352941176470588,0.4,0.6,0.5,0.392156862745098,NA,"AM054828","All Promoters"
"AMEX60DD054829",0,0.142857142857143,0.48,0.352941176470588,0.278481012658228,0.2,0.342857142857143,0.176470588235294,0.44,0.254545454545455,"SEZ6","Sez6","All Promoters"
"AMEX60DD054830",0.113636363636364,0.145161290322581,0.126436781609195,0.225806451612903,0.228571428571429,0.285714285714286,0.124183006535948,0.140625,0.173913043478261,0.149019607843137,NA,"AM054830","All Promoters"
"AMEX60DD054832",0,0,0,0,0,0,0,0,0,0,"PHF12","Phf12","All Promoters"
"AMEX60DD054833",0,0,0,0,0,0,0.00884955752212389,0,0.0172413793103448,0,"DHRS13","Dhrs13","All Promoters"
"AMEX60DD054834",0.037037037037037,0.032967032967033,0.05,0.1875,0.0666666666666667,0.0545454545454545,0.0752688172043011,0.102040816326531,0.166666666666667,0.08,"FLOT2","Flot2","All Promoters"
"AMEX60DD054835",0.0104166666666667,0.0232558139534884,0.186046511627907,0.0459016393442623,0.0707070707070707,0.0833333333333333,0.0657894736842105,0.0212765957446809,0.0153846153846154,0,"FLOT2","Flot2.1","All Promoters"
"AMEX60DD054838",0,0.36144578313253,0.80952380952381,0.00263852242744063,0,0.181818181818182,0,0.0238095238095238,0.0191082802547771,0.478260869565217,"ERAL1","Eral1","All Promoters"
"AMEX60DD054839",0,0.00609756097560976,0,0,0,0,0.00549450549450549,0,0,0,"FAM222B","Fam222b","All Promoters"
"AMEX60DD054840",0.44,0.25,0.714285714285714,0.78125,0.6,0.666666666666667,0.582089552238806,0.482758620689655,0.688888888888889,1,"FAM222B","Fam222b.1","All Promoters"
"AMEX60DD054841",0.0167224080267559,0,0.0148148148148148,0,0.0337078651685393,0,0.00636942675159236,0,0.0188679245283019,0,"TRAF4","Traf4","All Promoters"
"AMEX60DD054842",0.913978494623656,0.857142857142857,0.894736842105263,0.854368932038835,0.873563218390805,0.86046511627907,0.956521739130435,0.970588235294118,0.869047619047619,0.865853658536585,NA,"AM054842","All Promoters"
"AMEX60DD054843",0,0,0,0.0131578947368421,0,0,0.036144578313253,0,0.0285714285714286,0.0106382978723404,"NEK8","Nek8","All Promoters"
"AMEX60DD054844",0.682352941176471,0.688311688311688,0.803191489361702,0.616071428571429,0.815789473684211,0.426666666666667,0.761467889908257,0.847826086956522,0.411764705882353,0.720930232558139,"TLCD1","Tlcd1","All Promoters"
"AMEX60DD054845",0.72,0.769230769230769,0.612903225806452,0.584415584415584,0.576923076923077,0.592592592592593,0.82051282051282,0.470588235294118,0.6,0.583333333333333,"TLCD1","Tlcd1.1","All Promoters"
"AMEX60DD054846",0.313333333333333,0.0277777777777778,0,0.108433734939759,0,0.129032258064516,0.283422459893048,0.32,0.0227272727272727,0.13265306122449,"TLCD1","Tlcd1.2","All Promoters"
